"_col0","cnt"
"index.html","182373697"
"package.json","79136955"
"README.md","57321853"
"pom.xml","22182123"
"latest","14358329"
"Makefile","11423889"
"index.js","11262447"
".gitignore","10610667"
"atom.xml","9098548"
"style.css","8712893"
"body","8142776"
"app.js","6475108"
"strings.xml","5471055"
"ChangeLog","5440475"
"index.php","5280690"
"main.cpp","4971249"
"project.pbxproj","4940180"
".DS_Store","4902467"
"__init__.pyc","4899147"
"CMakeLists.txt","4888135"
"build.gradle","4884904"
"main.js","4840432"
"main.css","4765252"
"AndroidManifest.xml","4652293"
"package-summary.html","4559565"
"AssemblyInfo.cs","4416191"
"workspace.xml","4365828"
"package-frame.html","4343712"
"__init__.py","4033605"
"package-tree.html","3980640"
"Gemfile","3852847"
"data.json","3775806"
"Gemfile.lock","3727067"
"views.py","3692497"
"index.html.erb","3679611"
".travis.yml","3619516"
"MainActivity.java","3584399"
"entries","3201918"
"routes.rb","3103176"
"Manifest","2893124"
"package-use.html","2892252"
"readme.md","2800446"
".project","2748223"
"index.md","2725151"
"models.py","2706275"
"UserInterfaceState.xcuserstate","2687290"
"show.html.erb","2668166"
"README","2660595"
"Dockerfile","2641327"
"schema.rb","2601459"
"Makefile.am","2424284"
"Contents.json","2315614"
"styles.css","2313414"
"Program.cs","2261446"
"gitfiti","2223300"
"main.c","2212991"
"stars.dat","2195043"
"server.js","2167214"
"setup.py","2156572"
"Makefile.in","2142891"
"details.csv","2115211"
"application.html.erb","2042361"
"Main.java","2039374"
"filelist.csv","2037142"
"urls.py","2036988"
"description.txt","1958580"
"meta.txt","1925411"
"composer.json","1902564"
"bower.json","1879958"
"_config.yml","1802123"
"index.xml","1783888"
"DesignTimeResolveAssemblyReferencesInput.cache","1774863"
"new.html.erb","1763891"
"Main.storyboard","1758603"
"activity_main.xml","1719585"
"all-wcprops","1667771"
"changelog","1652088"
"build.xml","1610749"
"lkHeartbeat","1605426"
"lkLocation","1605426"
"CHANGELOG.md","1575987"
".classpath","1567355"
"settings.py","1533000"
"main.py","1521874"
"LICENSE","1510884"
"maven-metadata.xml","1492860"
"readme.txt","1486167"
"modules.xml","1469801"
"script.js","1445532"
"sitemap.xml","1439099"
"_form.html.erb","1422593"
"PKGBUILD","1388358"
"MANIFEST.MF","1349929"
"user.rb","1344446"
"packages.config","1320084"
"web.xml","1318978"
"Index.cshtml","1318359"
"home.html","1273781"
"Thumbs.db","1262197"
"package-lock.json","1242880"
