"year","weekend","total","weekend_percentage"
"2018","15130065","78539158","19.264358550928186"
"2017","33776451","168074276","20.09614546844753"
"2016","43890325","209442130","20.955824408393863"
"2015","35781159","166884920","21.440618481286386"
"2014","24591048","122341275","20.100369233523192"
"2013","17792778","88524430","20.099285587040775"
"2012","12794430","64516008","19.83140370371335"
"2011","9765190","48479321","20.14300076521286"
"2010","7766348","38561515","20.140152688503033"
"2009","6352253","31053219","20.456021000592564"
"2008","4568373","22474882","20.32657168122173"
"2007","3318881","16289632","20.374192615278233"
"2006","2597142","12224905","21.24468042900947"
"2005","2086697","9603804","21.72781743567445"
"2004","1752400","7948104","22.048025541688936"
"2003","1426033","6941593","20.543310447616275"
"2002","1159294","5378538","21.554072872591025"
"2001","849905","4098587","20.73653676254768"
"2000","2091770","4338842","48.21032893108346"
"1999","438540","2026906","21.635931809368564"
"1998","311888","1430567","21.801705198008904"
"1997","263995","1129249","23.377926391787817"
"1996","192543","795827","24.19407735600828"
"1995","176270","670417","26.29259102916543"
"1994","137811","581563","23.69665883145936"
"1993","169767","697343","24.344834607933254"
"1992","74923","422068","17.751404986874153"
"1991","92782","484547","19.14819408643537"
"1990","113201","340489","33.24659533788169"
"1989","31742","182325","17.409570821335528"
"1988","44983","206275","21.807296085322992"
"1987","27892","146157","19.083588196254713"
"1986","54200","237330","22.83739940167699"
"1985","75595","306564","24.65879881525554"
"1984","26391","95506","27.632818880489186"
"1983","89776","370687","24.218815334770305"
"1982","51524","191933","26.844784377881865"
"1981","32995","123618","26.691096765843163"
"1980","31832","133733","23.80265155197296"
"1979","20943","175164","11.956223881619511"
"1978","3773","33677","11.203491997505715"
"1977","4783","19376","24.685177539223783"
"1976","1907","7048","27.057321225879683"
"1975","2089","26579","7.85958839685466"
"1974","2095","14290","14.660601819454163"
"1973","2988","15580","19.178433889602054"
"1972","1755","6552","26.785714285714285"
"1971","1723","6125","28.130612244897957"
